Metric,Technology,Run,Optimal Value,Unit
Total cost,,1,10735714334.815956,$US
Capacity,Thermal,1,4897.0,MW
Capacity,Solar PV,1,80234.01397140014,MW
Capacity,Wind,1,17827.351975109563,MW
Capacity,All,1,102958.3659465097,MW
Charge power capacity,Li-Ion,1,0.0,MW
Charge power capacity,CAES,1,-0.0,MW
Charge power capacity,PHS,1,28866.431883496793,MW
Charge power capacity,H2,1,915.6435282164246,MW
Charge power capacity,All,1,29782.075411713216,MW
Discharge power capacity,Li-Ion,1,0.0,MW
Discharge power capacity,CAES,1,0.0,MW
Discharge power capacity,PHS,1,28866.431883496793,MW
Discharge power capacity,H2,1,461.5594912743704,MW
Discharge power capacity,All,1,29327.99137477116,MW
Average power capacity,Li-Ion,1,0.0,MW
Average power capacity,CAES,1,0.0,MW
Average power capacity,PHS,1,28866.431883496793,MW
Average power capacity,H2,1,688.6015097453975,MW
Average power capacity,All,1,29555.03339324219,MW
Energy capacity,Li-Ion,1,0.0,MWh
Energy capacity,CAES,1,-0.0,MWh
Energy capacity,PHS,1,391715.6964525225,MWh
Energy capacity,H2,1,695827.1140838199,MWh
Energy capacity,All,1,1087542.8105363424,MWh
Duration,Li-Ion,1,0.0,h
Duration,CAES,1,-0.0,h
Duration,PHS,1,11.999999999999998,h
Duration,H2,1,1000.0000000000001,h
Total generation,Thermal,1,1483279.8234470987,MWh
Total generation,Solar PV,1,4278755.578438107,MWh
Total generation,Wind,1,2678622.9284985014,MWh
Total generation,Other renewables,1,572625.91629,MWh
Total generation,Hydro,1,671257.99049,MWh
Total generation,Nuclear,1,761513.67135,MWh
Total generation,Li-Ion,1,0.0,MWh
Total generation,CAES,1,0.0,MWh
Total generation,PHS,1,2101975.2957435497,MWh
Total generation,H2,1,66656.57006335976,MWh
Total generation,All,1,12614687.774320617,MWh
Total Imports/Exports,Imports,1,0.0,MWh
Total Imports/Exports,Exports,1,0.0,MWh
Storage energy discharging,Li-Ion,1,0.0,MWh
Storage energy discharging,CAES,1,0.0,MWh
Storage energy discharging,PHS,1,2101975.2957435497,MWh
Storage energy discharging,H2,1,66656.57006335976,MWh
Storage energy discharging,All,1,2168631.8658069093,MWh
Total demand,demand,1,9775247.62111,MWh
Storage energy charging,Li-Ion,1,1.6563622414715463e-10,MWh
Storage energy charging,CAES,1,0.0,MWh
Storage energy charging,PHS,1,2687947.9485211633,MWh
Storage energy charging,H2,1,151492.2046894535,MWh
Storage energy charging,All,1,2839440.153210617,MWh
CAPEX,Solar PV,1,4218571567.609043,$US
CAPEX,Wind,1,1387774340.3207173,$US
CAPEX,Thermal,1,0.0,$US
CAPEX,All,1,5606345907.92976,$US
Power-CAPEX,Li-Ion,1,0.0,$US
Power-CAPEX,CAES,1,0.0,$US
Power-CAPEX,PHS,1,1919525460.5320492,$US
Power-CAPEX,H2,1,89386021.49055037,$US
Power-CAPEX,All,1,2008911482.0225995,$US
Energy-CAPEX,Li-Ion,1,0.0,$US
Energy-CAPEX,CAES,1,-0.0,$US
Energy-CAPEX,PHS,1,1301265244.1017022,$US
Energy-CAPEX,H2,1,70047961.73683968,$US
Energy-CAPEX,All,1,1371313205.838542,$US
Total-CAPEX,Li-Ion,1,0.0,$US
Total-CAPEX,CAES,1,0.0,$US
Total-CAPEX,PHS,1,3220790704.6337514,$US
Total-CAPEX,H2,1,159433983.22739005,$US
Total-CAPEX,All,1,3380224687.861141,$US
FOM,Thermal,1,0.0,$US
FOM,Solar PV,1,665788266.655796,$US
FOM,Wind,1,608031610.78891,$US
FOM,Li-Ion,1,0.0,$US
FOM,CAES,1,0.0,$US
FOM,PHS,1,237900966.38192582,$US
FOM,H2,1,32416444.85616283,$US
FOM,All,1,1544137288.6827946,$US
VOM,Thermal,1,11124598.675853241,$US
VOM,Li-Ion,1,0.0,$US
VOM,CAES,1,0.0,$US
VOM,PHS,1,2165412.91016909,$US
VOM,H2,1,0.0,$US
VOM,All,1,13290011.586022332,$US
Fuel-Cost,Thermal,1,191716438.75623736,$US
OPEX,Thermal,1,11124598.675853241,$US
OPEX,Solar PV,1,665788266.655796,$US
OPEX,Wind,1,608031610.78891,$US
OPEX,Li-Ion,1,0.0,$US
OPEX,CAES,1,0.0,$US
OPEX,PHS,1,240066379.29209492,$US
OPEX,H2,1,32416444.85616283,$US
OPEX,All,1,1557427300.268817,$US
Cost,Imports Cost,1,0.0,$US
Revenue,Exports Revenue,1,0.0,$US
Equivalent number of cycles,Li-Ion,1,0.0,-
Equivalent number of cycles,CAES,1,0.0,-
Equivalent number of cycles,PHS,1,5.366073697785347,-
Equivalent number of cycles,H2,1,0.09579472934325789,-
Total VRE curtailment,Solar PV,1,98697.69541263254,MWh
Total VRE curtailment,Wind,1,1331.1847887926124,MWh
Total VRE curtailment,All,1,100028.88020142516,MWh
VRE curtailment percentage,All,1,1.4173601538679141,%
